Price,Close,High,Low,Open,Volume
Ticker,TLKM.JK,TLKM.JK,TLKM.JK,TLKM.JK,TLKM.JK
Date,,,,,
2025-07-01,2810.0,2810.0,2760.0,2800.0,73006700
2025-07-02,2780.0,2820.0,2730.0,2820.0,92321600
2025-07-03,2710.0,2810.0,2690.0,2780.0,69094400
2025-07-04,2630.0,2720.0,2620.0,2710.0,53587300
2025-07-07,2700.0,2700.0,2610.0,2630.0,33446600
2025-07-08,2650.0,2700.0,2640.0,2680.0,45926000
2025-07-09,2670.0,2680.0,2640.0,2650.0,44897100
2025-07-10,2690.0,2710.0,2650.0,2690.0,41108700
2025-07-11,2730.0,2730.0,2690.0,2710.0,47851300
2025-07-14,2690.0,2710.0,2640.0,2700.0,60458400
2025-07-15,2640.0,2690.0,2640.0,2690.0,35309100
2025-07-16,2650.0,2680.0,2650.0,2660.0,43385900
2025-07-17,2770.0,2770.0,2660.0,2700.0,102642100
2025-07-18,2770.0,2800.0,2750.0,2800.0,83762800
2025-07-21,2800.0,2800.0,2750.0,2800.0,52553200
2025-07-22,2850.0,2850.0,2800.0,2800.0,108243300
2025-07-23,2850.0,2870.0,2840.0,2870.0,86077600
2025-07-24,2840.0,2870.0,2800.0,2860.0,74224200
2025-07-25,2820.0,2830.0,2780.0,2810.0,41296200
2025-07-28,2860.0,2870.0,2830.0,2870.0,40193800
2025-07-29,2880.0,2880.0,2840.0,2870.0,46357400
2025-07-30,2880.0,2890.0,2850.0,2890.0,99062400
