feature,importance
High,75.26956323835327
Low,60.59056054809481
Open,58.43208781956194
Close,56.15013205240771
Close_Lag_1,54.61390431279304
Year,51.97821649456295
Close_Lag_2,50.028143116014185
EMA_12,46.96190844192331
EMA_26,45.73645875873362
SMA_5,43.65796734289051
Close_Lag_3,42.3792640478673
BB_Upper,36.80809795239816
SMA_20,30.988055272380343
Close_Rolling_Mean_20,30.988055272373813
BB_Middle,30.988055272373764
Price_vs_SMA50,30.188793177270455
SMA_200,30.14812337142052
BB_Position,28.058471381086367
BB_Lower,23.88441775602254
MACD_Histogram,23.374719684588086
SMA_50,16.755694935697743
Quarter,16.204020402928712
True_Range,16.01026751370973
Return_Lag_1,15.170319991646684
Daily_Return,13.772992008634242
Price_Change_Pct_1D,13.772992008633036
ATR,11.950507793650166
Price_Momentum_5D,11.682360760295383
MACD,10.909689662459925
Volatility_20D,10.191516637367151
Volume_vs_MA,9.149010914174276
Month,8.669618042392988
Close_Rolling_Std_20,8.398950409537347
Log_Return,8.245336860063212
Price_vs_SMA20,7.457881651927965
Return_Lag_2,7.244372107293686
Volume,6.856232836174194
Volume_Rolling_Mean_20,4.976561311791442
MACD_Signal,3.6413358011865316
Overnight_Return,2.868283872764963
Volume_Lag_1,2.1089963669384297
RSI,0.8647868927245681
Intraday_Return,0.796612923514243
DayOfWeek,0.6043538918920204
Volume_Momentum_3D,0.440867636056341
Price_Change_1D,0.05788725797248173
